775048;301720;Кимовск, Тульская обл;-ok-
452414;301260;Киреевск, Тульская обл;-ok-
952122;249440;Киров, Кировская обл.;-ok-
359930;357700;Кисловодск, Ставропольский край;-ok-
180662;141601;Клин, Московская обл;-ok-
297773;140400;Коломна, Московская обл;-ok-
294363;680801;Комсомольск-на-Амуре, Хабаровский край;-ok-
293441;141060;Королев, Московская обл;-ok-
286291;186930;Костомукша, Карелия Респ;-ok-
659893;688716;Кострома;-ok-
395961;140050;Красково, Московская обл;-ok-
111410;143400;Красногорск, Московская обл;-ok-
206780;350000;Краснодар;-ok-
566272;660000;Красноярск;-ok-
556326;640000;Курган;-ok-
141986;658902;Курск;-ok-
826543;624200;Лесной, Свердловская обл;-ok-
937729;398000;Липецк;-ok-
713896;141055;Лобня, Московская обл;-ok-
552233;140000;Люберцы, Московская обл;-ok-
293909;685000;Магадан;-ok-
329215;455000;Магнитогорск, Челябинская обл;-ok-
242678;456300;Миасс, Челябинская обл;-ok-
405065;101000;Москва;-ok-
738215;183000;Мурманск;-ok-
509172;155170;Мытищи, Московская обл;-ok-
721386;423800;Набережные Челны, Татарстан Респ;-ok-
821846;629730;Надым, Ямало-Ненецкий авт округ;-ok-
895896;360000;Нальчик;-ok-
614039;143300;Наро-Фоминск, Московская обл;-ok-
690431;690890;Находка, Приморский край;-ok-
326653;452680;Нефтекамск, Башкортостан Респ;-ok-
579593;628600;Нижневартовск, Ханты-Мансийский авт округ;-ok-
768003;603000;Нижний Новгород;-ok-
739577;622000;Нижний Тагил, Свердловская обл;-ok-
965364;654000;Новокузнецк, Кемеровская обл;-ok-
747832;301650;Новомосковск, Тульская обл;-ok-
772936;353900;Новороссийск, Краснодарский край;-ok-
844542;630000;Новосибирск;-ok-
540896;462232;Новоуральск, Свердловская обл;-ok-
721952;143000;Одинцово, Московская обл;-ok-
298374;456780;Озерск, Челябинская обл;-ok-
641589;140060;Октябрьский, Московская обл;-ok-
437223;644000;Омск;-ok-
141683;618455;Орел;-ok-
863800;460000;Оренбург;-ok-
330513;142600;Орехово-Зуево, Московская обл;-ok-
995930;462400;Орск, Оренбургская обл;-ok-
671588;142500;Павловский Посад, Московская обл;-ok-
959339;440000;Пенза;-ok-
316789;623100;Первоуральск, Свердловская обл;-ok-
538866;614000;Пермь;-ok-
934734;185000;Петрозаводск, Карелия Респ;-ok-
695769;683000;Петропавловск-Камчатский, Камчатский край;-ok-
818838;142100;Подольск, Московская обл;-ok-
149884;180000;Псков;-ok-
259817;141200;Пушкино, Московская обл;-ok-
202113;357500;Пятигорск, Ставропольский край;-ok-
515055;140100;Раменское, Московская обл;-ok-
237007;143960;Реутов, Московская обл;-ok-
642207;344000;Ростов-на-Дону;-ok-
596087;390000;Рязань;-ok-
213206;453250;Салават, Башкортостан Респ;-ok-
637710;665376;Самара;-ok-
958281;190000;Санкт-Петербург;-ok-
181920;430000;Саранск;-ok-
602847;410000;Саратов;-ok-
203092;141300;Сергиев Посад, Московская обл;-ok-
539933;624970;Серов, Свердловская обл;-ok-
655447;142200;Серпухов, Московская обл;-ok-
274284;214000;Смоленск;-ok-
387370;456770;Снежинск, Челябинская обл;-ok-
785867;628240;Советский, Ханты-Мансийский авт округ;-ok-
474286;141501;Солнечногорск, Московская обл;-ok-
922140;354000;Сочи, Краснодарский край;-ok-
554970;355000;Ставрополь;-ok-
310146;309500;Старый Оскол, Белгородская обл;-ok-
457258;453100;Стерлитамак, Башкортостан Респ;-ok-
491954;416243;Ступино, Московская обл;-ok-
446575;446551;Сургут, Ханты-Мансийский авт округ;-ok-
834177;167000;Сыктывкар;-ok-
661751;347900;Таганрог, Ростовская обл;-ok-
912848;392000;Тамбов;-ok-
390503;170000;Тверь;-ok-
134919;134919;Толстопальцево пос., Москва;-e-
703737;445000;Тольятти, Самарская обл;-ok-
850577;634000;Томск;-ok-
908178;142190;Троицк, Московская обл;-ok-
619719;300000;Тула;-ok-
846415;625000;Тюмень;-ok-
453136;143260;Уваровка, Московская обл;-ok-
398154;301600;Узловая, Тульская обл;-ok-
588793;670000;Улан-Удэ;-ok-
341105;432000;Ульяновск;-ok-
422392;692500;Уссурийск, Приморский край;-ok-
426009;450000;Уфа;-ok-
356796;169300;Ухта, Коми Респ;-ok-
980683;680000;Хабаровск;-ok-
391373;628000;Ханты-Мансийск, Ханты-Мансийский авт округ;-ok-
672860;141400;Химки, Московская обл;-ok-
129733;428000;Чебоксары;-ok-
825226;454000;Челябинск;-ok-
937411;160860;Череповец, Вологодская обл;-ok-
728596;672000;Чита;-ok-
449776;641870;Шадринск, Курганская обл;-ok-
651600;140700;Шатура, Московская обл;-ok-
207869;301212;Щекино, Тульская обл;-ok-
434312;142170;Щербинка, Московская обл;-ok-
966418;358000;Элиста, Калмыкия Респ;-ok-
610798;141090;Юбилейный, Московская обл;-ok-
370543;693000;Южно-Сахалинск;-ok-
911256;677000;Якутск;-ok-
171416;150000;Ярославль;-ok-
